Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2021,4,Corrientes,43,71,10,7,5,136
2021,4,Entre Ríos,70,133,23,25,13,265
2021,4,Formosa,17,15,5,16,172,54
2021,4,Jujuy,22,61,24,3,4,114
2021,4,La Pampa,8,58,20,19,1,107
2021,4,La Rioja,10,57,9,7,31,83
2021,4,Mendoza,60,72,110,25,2,268
2021,4,Misiones,42,92,22,8,8,171
2021,4,Neuquén,29,73,23,22,746,147
2021,4,Río Negro,42,44,32,17,18,154
2021,4,Salta,47,100,40,6,7,199
2021,4,San Juan,36,13,11,11,8,80
2021,4,San Luis,8,11,30,71,29,119
2021,4,Santa Cruz,11,23,10,4,417,48
2021,4,Santa Fe,233,444,129,44,16,866
2021,4,Santiago Del Estero,19,87,1,6,3,116
2021,4,Tierra Del Fuego,13,38,426,124,342,52
2021,4,Tucumán,98,59,79,3,486,239
2021,3,Buenos Aires,586,3,886,120,65,4
2021,3,Capital Federal,143,1,43,6,29,1
2021,3,Catamarca,18,12,22,2,2,56
2021,3,Chaco,38,64,28,8,2,140
2021,3,Chubut,49,56,9,23,19,156
2021,3,Córdoba,229,477,167,58,15,947
2021,3,Corrientes,45,69,8,7,5,134
2021,3,Entre Ríos,74,129,20,24,13,260
2021,3,Formosa,18,14,5,16,171,53
2021,3,Jujuy,24,61,20,3,4,111
2021,3,La Pampa,9,58,18,14,1,100
2021,3,La Rioja,11,55,9,7,30,82
2021,3,Mendoza,91,71,71,22,828,256
2021,3,Misiones,43,89,11,7,8,159
2021,3,Neuquén,30,74,16,19,640,140
2021,3,Río Negro,48,45,19,15,18,145
2021,3,Salta,49,98,36,6,6,196
2021,3,San Juan,40,13,7,11,8,79
2021,3,San Luis,8,12,27,69,29,118
2021,3,Santa Cruz,12,23,6,4,3,49
2021,3,Santa Fe,246,443,93,43,16,842
2021,3,Santiago Del Estero,20,86,909,6,3,115
2021,3,Tierra Del Fuego,13,37,6,16,390,50
2021,3,Tucumán,104,54,71,2,743,232
2021,2,Buenos Aires,603,3,854,114,58,4
2021,2,Capital Federal,149,1,41,6,29,1
2021,2,Catamarca,20,9,22,1,2,56
2021,2,Chaco,40,63,28,8,2,141
2021,2,Chubut,49,41,6,24,19,139
2021,2,Córdoba,240,468,152,56,16,931
2021,2,Corrientes,47,67,4,7,5,130
2021,2,Entre Ríos,78,125,18,24,13,258
2021,2,Formosa,20,13,4,16,171,52
2021,2,Jujuy,25,61,20,3,4,112
2021,2,La Pampa,9,57,17,13,1,98
2021,2,La Rioja,12,54,9,6,30,82
2021,2,Mendoza,92,71,45,22,827,230
2021,2,Misiones,45,88,10,5,8,156
2021,2,Neuquén,30,73,16,19,640,138
2021,2,Río Negro,48,44,19,15,18,144
2021,2,Salta,51,96,32,6,6,192
2021,2,San Juan,40,12,7,11,8,79
2021,2,San Luis,8,11,28,67,36,123
2021,2,Santa Cruz,12,23,6,4,3,49
2021,2,Santa Fe,257,432,90,44,18,841
2021,2,Santiago Del Estero,21,84,909,5,4,114
2021,2,Tierra Del Fuego,13,23,6,14,316,36
2021,2,Tucumán,110,48,72,2,743,233
2021,1,Buenos Aires,630,2,822,99,58,4
2021,1,Capital Federal,160,1,40,6,29,1
2021,1,Catamarca,26,4,19,322,2,52
2021,1,Chaco,43,61,25,8,2,140
2021,1,Chubut,46,41,3,24,19,132
2021,1,Córdoba,260,445,135,54,17,911
2021,1,Corrientes,49,63,3,6,5,127
2021,1,Entre Ríos,84,118,17,21,12,252
2021,1,Formosa,21,11,3,16,380,51
2021,1,Jujuy,32,54,17,3,4,110
2021,1,La Pampa,9,59,16,12,1,97
2021,1,La Rioja,17,35,1,250,30,53
2021,1,Mendoza,92,69,39,18,833,219
2021,1,Misiones,48,82,7,5,7,149
2021,1,Neuquén,30,70,14,18,632,133
2021,1,Río Negro,49,42,18,14,18,141
2021,1,Salta,55,89,31,6,6,188
2021,1,San Juan,40,12,7,11,8,78
2021,1,San Luis,8,11,28,64,36,119
2021,1,Santa Cruz,12,23,6,4,390,46
2021,1,Santa Fe,277,421,71,39,18,826
2021,1,Santiago Del Estero,26,76,570,5,4,112
2021,1,Tierra Del Fuego,13,27,6,0,316,40
2021,1,Tucumán,147,12,70,2,740,232
2020,4,Buenos Aires,636,2,805,93,58,4
2020,4,Capital Federal,163,1,40,5,29,1
2020,4,Catamarca,27,5,18,322,2,52
2020,4,Chaco,44,61,24,8,2,139
2020,4,Chubut,46,40,3,23,19,131
2020,4,Córdoba,267,439,126,53,18,903
2020,4,Corrientes,50,61,3,6,5,126
2020,4,Entre Ríos,86,114,16,20,12,247
2020,4,Formosa,21,11,2,15,380,50
2020,4,Jujuy,33,53,16,1,3,106
2020,4,La Pampa,9,59,15,12,1,97
2020,4,La Rioja,18,35,1,250,30,53
2020,4,Mendoza,92,68,36,18,833,215
2020,4,Misiones,49,80,7,4,7,147
2020,4,Neuquén,30,71,14,18,632,133
2020,4,Río Negro,49,42,18,14,18,141
2020,4,Salta,57,88,31,6,6,187
2020,4,San Juan,40,7,7,10,8,73
2020,4,San Luis,8,12,27,63,36,119
2020,4,Santa Cruz,12,20,1,5,3,41
2020,4,Santa Fe,287,415,63,39,17,821
2020,4,Santiago Del Estero,27,71,570,5,4,107
2020,4,Tierra Del Fuego,13,26,6,0,316,40
2020,4,Tucumán,149,11,68,2,740,231
2020,3,Buenos Aires,654,2,749,94,56,4
2020,3,Capital Federal,170,1,39,4,29,1
2020,3,Catamarca,27,4,17,261,2,50
2020,3,Chaco,46,59,21,7,2,134
2020,3,Chubut,46,39,3,23,19,130
2020,3,Córdoba,276,431,102,48,10,867
2020,3,Corrientes,51,59,3,6,5,123
2020,3,Entre Ríos,88,107,14,20,12,241
2020,3,Formosa,22,10,2,15,393,49
2020,3,Jujuy,33,58,11,952,4,107
2020,3,La Pampa,9,57,15,12,1,94
2020,3,La Rioja,17,35,1,250,35,53
2020,3,Mendoza,92,65,33,18,868,208
2020,3,Misiones,50,78,3,3,9,143
2020,3,Neuquén,30,70,11,17,737,129
2020,3,Río Negro,50,40,10,13,18,131
2020,3,Salta,58,84,25,6,7,181
2020,3,San Juan,40,9,6,14,8,77
2020,3,San Luis,8,10,6,62,36,117
2020,3,Santa Cruz,13,16,1,7,2,39
2020,3,Santa Fe,295,406,46,37,19,803
2020,3,Santiago Del Estero,26,71,555,4,4,105
2020,3,Tierra Del Fuego,13,26,0,0,310,40
2020,3,Tucumán,150,12,60,2,762,224
2020,2,Buenos Aires,661,2,723,92,57,4
2020,2,Capital Federal,179,1,39,4,29,1
2020,2,Catamarca,27,4,15,261,2,48
2020,2,Chaco,47,56,17,6,2,128
2020,2,Chubut,46,38,1,18,6,109
2020,2,Córdoba,283,415,86,45,8,836
2020,2,Corrientes,51,56,3,4,5,119
2020,2,Entre Ríos,89,99,14,20,11,234
2020,2,Formosa,22,9,2,15,169,48
2020,2,Jujuy,33,39,5,952,17,94
2020,2,La Pampa,9,54,14,11,1,90
2020,2,La Rioja,17,35,1,250,35,52
2020,2,Mendoza,92,63,30,16,802,201
2020,2,Misiones,51,74,3,3,9,140
2020,2,Neuquén,30,68,11,16,1,126
2020,2,Río Negro,50,40,10,11,18,129
2020,2,Salta,60,82,24,5,7,178
2020,2,San Juan,40,8,6,7,9,70
2020,2,San Luis,8,8,6,61,36,114
2020,2,Santa Cruz,13,16,1,7,2,39
2020,2,Santa Fe,300,382,47,30,19,778
2020,2,Santiago Del Estero,26,72,355,3,4,105
2020,2,Tierra Del Fuego,13,26,0,0,310,39
2020,2,Tucumán,150,10,55,1,762,217
2020,1,Buenos Aires,673,2,721,85,18,4
2020,1,Capital Federal,184,1,39,4,29,1
2020,1,Catamarca,22,3,12,261,2,40
2020,1,Chaco,46,54,12,6,2,120
2020,1,Chubut,46,27,1,17,5,97
2020,1,Córdoba,286,406,69,42,9,811
2020,1,Corrientes,51,53,2,2,5,114
2020,1,Entre Ríos,90,95,13,19,14,232
2020,1,Formosa,21,9,2,15,169,46
2020,1,Jujuy,32,39,3,942,17,92
2020,1,La Pampa,9,54,14,11,2,89
2020,1,La Rioja,13,35,0,251,29,48
2020,1,Mendoza,92,50,28,12,722,183
2020,1,Misiones,51,69,1,460,11,134
2020,1,Neuquén,29,66,11,15,729,122
2020,1,Río Negro,48,38,10,11,18,126
2020,1,Salta,60,76,23,4,7,170
2020,1,San Juan,40,6,6,7,5,64
2020,1,San Luis,8,8,5,58,36,111
2020,1,Santa Cruz,13,16,1,7,2,39
2020,1,Santa Fe,302,384,35,30,19,771
2020,1,Santiago Del Estero,25,70,200,3,5,103
2020,1,Tierra Del Fuego,13,26,0,0,308,39
2020,1,Tucumán,143,10,45,1,347,200
2019,4,Buenos Aires,720,2,669,87,18,4
2019,4,Capital Federal,197,1,36,4,29,1
2019,4,Catamarca,23,3,10,261,2,38
2019,4,Chaco,49,54,9,5,2,118
2019,4,Chubut,47,27,1,15,5,96
2019,4,Córdoba,297,410,53,38,9,807
2019,4,Corrientes,53,52,2,2,5,114
2019,4,Entre Ríos,93,99,13,19,15,239
2019,4,Formosa,22,9,2,15,169,47
2019,4,Jujuy,33,38,873,814,17,89
2019,4,La Pampa,15,57,5,11,2,90
2019,4,La Rioja,14,35,0,251,29,49
2019,4,Mendoza,97,50,25,14,730,186
2019,4,Misiones,53,70,847,441,12,136
2019,4,Neuquén,30,61,11,14,854,116
2019,4,Río Negro,50,38,10,11,18,127
2019,4,Salta,63,76,22,3,8,172
2019,4,San Juan,41,6,5,7,5,65
2019,4,San Luis,9,8,6,55,36,108
2019,4,Santa Cruz,13,16,1,7,2,39
2019,4,Santa Fe,312,382,27,27,20,769
2019,4,Santiago Del Estero,25,71,200,3,5,104
2019,4,Tierra Del Fuego,13,27,0,0,310,40
2019,4,Tucumán,147,11,40,725,348,199
2019 *,3 *,Buenos Aires,1,2,425,86,27,4
2019 *,3 *,Capital Federal,300,1,25,4,31,1
2019 *,3 *,Catamarca,24,6,13,244,2,32
2019 *,3 *,Chaco,50,49,8,5,2,114
2019 *,3 *,Chubut,37,27,2,15,8,89
2019 *,3 *,Córdoba,308,399,30,37,9,783
2019 *,3 *,Corrientes,53,50,2,2,5,113
2019 *,3 *,Entre Ríos,95,96,13,19,15,238
2019 *,3 *,Formosa,22,8,1,14,162,46
2019 *,3 *,Jujuy,33,36,274,812,17,87
2019 *,3 *,La Pampa,19,53,5,11,2,91
2019 *,3 *,La Rioja,14,35,11,251,41,50
2019 *,3 *,Mendoza,149,54,7,13,2,224
2019 *,3 *,Misiones,54,66,829,419,12,134
2019 *,3 *,Neuquén,43,60,6,14,3,125
2019 *,3 *,Río Negro,67,37,10,11,19,144
2019 *,3 *,Salta,66,74,733,2,9,152
2019 *,3 *,San Juan,52,7,1,7,6,73
2019 *,3 *,San Luis,13,11,350,62,36,123
2019 *,3 *,Santa Cruz,11,17,969,7,3,38
2019 *,3 *,Santa Fe,319,377,19,24,21,761
2019 *,3 *,Santiago Del Estero,25,71,219,3,34,133
2019 *,3 *,Tierra Del Fuego,20,27,651,0,1,49
2019 *,3 *,Tucumán,151,12,116,684,324,164
2019 *,2 *,Buenos Aires,1,2,383,75,33,4
2019 *,2 *,Capital Federal,310,1,36,4,4,1
2019 *,2 *,Catamarca,26,6,13,146,2,34
2019 *,2 *,Chaco,51,47,4,5,2,109
2019 *,2 *,Chubut,37,26,2,14,8,88
2019 *,2 *,Córdoba,315,388,23,34,15,775
2019 *,2 *,Corrientes,54,47,2,2,6,112
2019 *,2 *,Entre Ríos,97,91,13,17,18,236
2019 *,2 *,Formosa,22,9,1,14,162,46
2019 *,2 *,Jujuy,33,31,274,812,22,87
2019 *,2 *,La Pampa,19,52,5,11,3,90
2019 *,2 *,La Rioja,15,35,11,251,41,50
2019 *,2 *,Mendoza,149,54,7,13,2,224
2019 *,2 *,Misiones,55,64,543,421,12,133
2019 *,2 *,Neuquén,43,59,5,13,3,123
2019 *,2 *,Río Negro,68,37,4,10,20,139
2019 *,2 *,Salta,69,62,725,1,9,143
2019 *,2 *,San Juan,52,7,1,3,7,70
2019 *,2 *,San Luis,11,10,347,57,38,117
2019 *,2 *,Santa Cruz,11,10,379,7,3,31
2019 *,2 *,Santa Fe,325,355,18,22,23,743
2019 *,2 *,Santiago Del Estero,24,65,219,3,35,127
2019 *,2 *,Tierra Del Fuego,20,26,651,0,1,47
2019 *,2 *,Tucumán,153,12,116,684,321,166
2019 *,1 *,Buenos Aires,1,2,336,65,20,4
2019 *,1 *,Capital Federal,328,1,32,4,4,1
2019 *,1 *,Catamarca,27,4,16,0,2,34
2019 *,1 *,Chaco,53,44,2,4,1,104
2019 *,1 *,Chubut,37,23,2,14,3,80
2019 *,1 *,Córdoba,323,364,20,25,12,744
2019 *,1 *,Corrientes,56,43,2,2,58,102
2019 *,1 *,Entre Ríos,101,90,13,16,12,232
2019 *,1 *,Formosa,23,8,940,14,62,45
2019 *,1 *,Jujuy,33,12,153,640,44,90
2019 *,1 *,La Pampa,19,57,3,9,1,89
2019 *,1 *,La Rioja,16,35,12,252,41,52
2019 *,1 *,Mendoza,149,40,6,10,2,206
2019 *,1 *,Misiones,55,59,465,426,8,123
2019 *,1 *,Neuquén,41,56,3,13,2,114
2019 *,1 *,Río Negro,68,34,4,10,5,121
2019 *,1 *,Salta,74,58,647,1,2,136
2019 *,1 *,San Juan,52,6,808,3,1,62
2019 *,1 *,San Luis,11,8,378,53,24,96
2019 *,1 *,Santa Cruz,11,5,382,7,3,25
2019 *,1 *,Santa Fe,340,340,16,23,18,737
2019 *,1 *,Santiago Del Estero,25,62,23,3,99,90
2019 *,1 *,Tierra Del Fuego,20,24,2,0,1,46
2019 *,1 *,Tucumán,159,12,118,678,321,172
2018,4,Buenos Aires,1,2,296,65,20,4
2018,4,Capital Federal,328,1,33,4,4,1
2018,4,Catamarca,27,4,16,0,2,34
2018,4,Chaco,53,44,2,3,1,103
2018,4,Chubut,37,23,952,14,3,79
2018,4,Córdoba,329,356,18,22,13,737
2018,4,Corrientes,56,42,796,2,30,101
2018,4,Entre Ríos,101,86,5,15,14,222
2018,4,Formosa,23,8,887,14,57,45
2018,4,Jujuy,33,12,153,640,44,90
2018,4,La Pampa,19,55,3,8,1,86
2018,4,La Rioja,16,35,12,252,36,52
2018,4,Mendoza,149,40,6,10,2,206
2018,4,Misiones,56,54,465,426,6,116
2018,4,Neuquén,41,56,3,12,2,114
2018,4,Río Negro,68,34,1,8,5,117
2018,4,Salta,74,58,638,253,2,135
2018,4,San Juan,52,6,806,3,1,62
2018,4,San Luis,11,8,378,53,24,96
2018,4,Santa Cruz,11,5,382,6,3,25
2018,4,Santa Fe,336,323,14,19,29,720
2018,4,Santiago Del Estero,25,61,23,3,81,89
2018,4,Tierra Del Fuego,20,23,2,0,1,46
2018,4,Tucumán,159,12,119,686,314,172
2018,3,Buenos Aires,1,2,156,62,26,4
2018,3,Capital Federal,334,1,36,4,9,1
2018,3,Catamarca,28,4,15,1,2,34
2018,3,Chaco,54,42,2,3,1,102
2018,3,Chubut,59,23,1,14,7,104
2018,3,Córdoba,338,342,16,19,11,726
2018,3,Corrientes,56,41,212,1,32,99
2018,3,Entre Ríos,103,84,2,15,80,205
2018,3,Formosa,23,8,817,14,57,45
2018,3,Jujuy,33,11,32,641,43,45
2018,3,La Pampa,12,55,8,7,987,83
2018,3,La Rioja,17,35,13,253,35,52
2018,3,Mendoza,151,40,6,8,2,207
2018,3,Misiones,56,51,512,391,56,108
2018,3,Neuquén,47,54,998,12,3,117
2018,3,Río Negro,69,33,1,5,5,113
2018,3,Salta,77,54,678,234,1,133
2018,3,San Juan,54,6,826,3,1,64
2018,3,San Luis,11,8,368,53,2,74
2018,3,Santa Cruz,19,5,585,6,4,34
2018,3,Santa Fe,339,313,12,16,15,695
2018,3,Santiago Del Estero,26,59,23,2,81,86
2018,3,Tierra Del Fuego,19,23,2,1,2,46
2018,3,Tucumán,161,9,110,252,315,171
2018,2,Buenos Aires,1,2,144,71,28,4
2018,2,Capital Federal,342,978,36,4,9,1
2018,2,Catamarca,27,4,15,1,2,34
2018,2,Chaco,54,41,562,2,1,99
2018,2,Chubut,59,20,1,14,7,101
2018,2,Córdoba,345,328,14,16,10,713
2018,2,Corrientes,57,40,201,1,32,98
2018,2,Entre Ríos,105,80,2,12,80,200
2018,2,Formosa,24,7,18,14,57,45
2018,2,Jujuy,34,11,23,640,43,45
2018,2,La Pampa,12,54,8,7,987,82
2018,2,La Rioja,17,35,13,253,35,52
2018,2,Mendoza,153,37,3,6,2,201
2018,2,Misiones,57,48,512,391,56,106
2018,2,Neuquén,47,53,998,13,3,116
2018,2,Río Negro,69,33,1,4,5,112
2018,2,Salta,78,53,678,234,1,134
2018,2,San Juan,54,5,826,3,1,64
2018,2,San Luis,11,8,368,16,2,21
2018,2,Santa Cruz,19,4,585,7,4,34
2018,2,Santa Fe,338,304,11,16,15,685
2018,2,Santiago Del Estero,26,56,23,2,81,84
2018,2,Tierra Del Fuego,19,23,531,1,2,45
2018,2,Tucumán,160,9,110,252,315,170
2018,1,Buenos Aires,1,2,134,64,31,3
2018,1,Capital Federal,350,968,36,3,9,1
2018,1,Catamarca,27,4,15,1,2,34
2018,1,Chaco,55,40,383,388,1,97
2018,1,Chubut,56,20,1,14,7,98
2018,1,Córdoba,349,327,13,13,11,714
2018,1,Corrientes,57,35,888,1,33,94
2018,1,Entre Ríos,107,76,4,11,80,197
2018,1,Formosa,24,7,17,2,57,32
2018,1,Jujuy,34,10,23,28,43,44
2018,1,La Pampa,11,51,8,11,2,83
2018,1,La Rioja,17,35,13,253,35,52
2018,1,Mendoza,153,37,3,6,2,201
2018,1,Misiones,56,47,328,5,56,104
2018,1,Neuquén,47,55,1,12,3,118
2018,1,Río Negro,69,32,1,4,5,111
2018,1,Salta,80,52,118,204,1,133
2018,1,San Juan,54,5,826,2,1,63
2018,1,San Luis,11,8,368,16,2,21
2018,1,Santa Cruz,19,4,2,7,3,34
2018,1,Santa Fe,342,300,11,12,15,680
2018,1,Santiago Del Estero,27,55,23,1,81,83
2018,1,Tierra Del Fuego,19,10,531,1,2,32
2018,1,Tucumán,159,9,107,368,50,168
2017,4,Buenos Aires,1,2,131,60,31,3
2017,4,Capital Federal,571,962,36,3,10,2
2017,4,Catamarca,27,263,11,1,2,30
2017,4,Chaco,55,40,389,380,1,97
2017,4,Chubut,56,15,1,14,7,93
2017,4,Córdoba,350,325,13,12,11,710
2017,4,Corrientes,57,35,894,1,35,94
2017,4,Entre Ríos,108,74,2,10,86,194
2017,4,Formosa,23,7,19,2,51,32
2017,4,Jujuy,34,10,20,28,34,44
2017,4,La Pampa,11,50,8,11,2,82
2017,4,La Rioja,17,35,14,253,31,52
2017,4,Mendoza,153,16,3,6,2,180
2017,4,Misiones,56,47,95,5,54,104
2017,4,Neuquén,47,54,1,12,3,117
2017,4,Río Negro,69,30,1,4,5,110
2017,4,Salta,81,50,127,158,1,133
2017,4,San Juan,54,451,812,2,1,59
2017,4,San Luis,11,1,335,17,2,15
2017,4,Santa Cruz,19,2,582,5,4,29
2017,4,Santa Fe,342,294,11,11,15,672
2017,4,Santiago Del Estero,27,40,19,1,80,69
2017,4,Tierra Del Fuego,19,7,530,1,2,29
2017,4,Tucumán,157,5,105,102,319,162
2017,3,Buenos Aires,1,2,125,35,39,3
2017,3,Capital Federal,583,941,33,3,10,2
2017,3,Catamarca,27,4,12,1,2,33
2017,3,Chaco,55,37,456,36,1,94
2017,3,Chubut,56,6,1,14,7,84
2017,3,Córdoba,345,319,11,7,15,697
2017,3,Corrientes,56,34,947,1,27,93
2017,3,Entre Ríos,108,70,2,6,63,185
2017,3,Formosa,23,7,428,2,12,32
2017,3,Jujuy,34,9,20,23,8,43
2017,3,La Pampa,11,50,5,12,2,80
2017,3,La Rioja,17,35,14,252,25,52
2017,3,Mendoza,154,34,3,29,2,192
2017,3,Misiones,56,44,110,5,9,100
2017,3,Neuquén,48,52,1,12,3,116
2017,3,Río Negro,69,30,1,3,4,107
2017,3,Salta,81,50,127,158,1,133
2017,3,San Juan,54,5,816,1,1,62
2017,3,San Luis,11,8,347,26,2,22
2017,3,Santa Cruz,19,5,2,5,3,34
2017,3,Santa Fe,323,291,6,5,37,662
2017,3,Santiago Del Estero,28,54,19,911,35,83
2017,3,Tierra Del Fuego,22,7,622,1,2,31
2017,3,Tucumán,154,6,106,40,305,161
2017,2,Buenos Aires,1,2,119,22,24,3
2017,2,Capital Federal,615,932,39,3,11,2
2017,2,Catamarca,26,255,14,1,34,27
2017,2,Chaco,54,36,458,52,39,91
2017,2,Chubut,44,1,916,13,5,64
2017,2,Córdoba,342,303,4,6,2,658
2017,2,Corrientes,55,33,258,1,31,90
2017,2,Entre Ríos,108,68,254,6,71,183
2017,2,Formosa,22,6,17,1,13,30
2017,2,Jujuy,34,9,22,0,35,43
2017,2,La Pampa,13,48,5,6,511,73
2017,2,La Rioja,16,0,15,2,28,16
2017,2,Mendoza,153,13,3,27,2,171
2017,2,Misiones,57,43,103,5,9,100
2017,2,Neuquén,52,50,1,12,3,117
2017,2,Río Negro,67,29,961,3,1,102
2017,2,Salta,80,27,115,158,804,109
2017,2,San Juan,49,451,772,1,915,52
2017,2,San Luis,11,1,354,26,375,13
2017,2,Santa Cruz,15,3,1,5,2,26
2017,2,Santa Fe,330,228,3,5,1,567
2017,2,Santiago Del Estero,28,4,19,911,29,33
2017,2,Tierra Del Fuego,23,7,665,1,2,33
2017,2,Tucumán,149,5,116,14,45,154
2017,1,Buenos Aires,2,1,119,21,24,3
2017,1,Capital Federal,429,918,38,3,11,1
2017,1,Catamarca,26,248,14,1,34,26
2017,1,Chaco,54,34,252,52,39,89
2017,1,Chubut,44,999,916,13,5,64
2017,1,Córdoba,336,293,5,6,1,641
2017,1,Corrientes,55,32,236,1,31,89
2017,1,Entre Ríos,109,65,230,6,71,180
2017,1,Formosa,22,6,16,1,13,30
2017,1,Jujuy,34,9,22,0,34,43
2017,1,La Pampa,13,47,5,6,517,72
2017,1,La Rioja,16,0,15,2,28,16
2017,1,Mendoza,153,13,3,27,2,171
2017,1,Misiones,57,40,101,5,8,98
2017,1,Neuquén,52,48,1,12,3,115
2017,1,Río Negro,67,29,954,3,1,101
2017,1,Salta,80,27,114,158,679,108
2017,1,San Juan,49,451,772,1,907,52
2017,1,San Luis,11,1,354,26,375,13
2017,1,Santa Cruz,16,3,1,5,2,26
2017,1,Santa Fe,327,226,3,5,1,563
2017,1,Santiago Del Estero,30,4,19,911,29,34
2017,1,Tierra Del Fuego,23,7,665,1,2,33
2017,1,Tucumán,147,5,116,14,45,153
2016,4,Buenos Aires,2,1,119,21,24,3
2016,4,Capital Federal,435,915,38,3,11,1
2016,4,Catamarca,27,250,14,1,34,27
2016,4,Chaco,55,34,248,52,39,89
2016,4,Chubut,44,955,916,13,5,64
2016,4,Córdoba,337,289,3,6,789,637
