Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2018,2,Capital Federal,1,7,1
2018,2,Catamarca,34,11,34
2018,2,Chaco,99,12,99
2018,2,Chubut,98,2,101
2018,2,Córdoba,713,94,713
2018,2,Corrientes,98,11,98
2018,2,Entre Ríos,200,48,200
2018,2,Formosa,45,,45
2018,2,Jujuy,45,1,45
2018,2,La Pampa,82,244,82
2018,2,La Rioja,52,17,52
2018,2,Mendoza,199,1,201
2018,2,Misiones,106,,106
2018,2,Neuquén,114,2,116
2018,2,Río Negro,111,1,112
2018,2,Salta,134,1,134
2018,2,San Juan,63,658,64
2018,2,San Luis,21,300,21
2018,2,Santa Cruz,34,435,34
2018,2,Santa Fe,684,309,685
2018,2,Santiago Del Estero,84,2,84
2018,2,Tierra Del Fuego,44,508,45
2018,2,Tucumán,170,31,170
2018,1,Buenos Aires,3,11,3
2018,1,Capital Federal,1,7,1
2018,1,Catamarca,34,11,34
2018,1,Chaco,97,12,97
2018,1,Chubut,96,2,98
2018,1,Córdoba,714,101,714
2018,1,Corrientes,94,11,94
2018,1,Entre Ríos,197,48,197
2018,1,Formosa,32,0,32
2018,1,Jujuy,44,1,44
2018,1,La Pampa,83,396,83
2018,1,La Rioja,52,17,52
2018,1,Mendoza,199,1,201
2018,1,Misiones,104,0,104
2018,1,Neuquén,116,2,118
2018,1,Río Negro,110,1,111
2018,1,Salta,133,1,133
2018,1,San Juan,63,658,63
2018,1,San Luis,21,300,21
2018,1,Santa Cruz,34,435,34
2018,1,Santa Fe,680,309,680
2018,1,Santiago Del Estero,83,2,83
2018,1,Tierra Del Fuego,31,508,32
2018,1,Tucumán,168,31,168
2017,4,Buenos Aires,3,11,3
2017,4,Capital Federal,2,7,2
2017,4,Catamarca,30,10,30
2017,4,Chaco,97,12,97
2017,4,Chubut,91,2,93
2017,4,Córdoba,710,105,710
2017,4,Corrientes,94,11,94
2017,4,Entre Ríos,194,49,194
2017,4,Formosa,32,0,32
2017,4,Jujuy,44,1,44
2017,4,La Pampa,82,396,82
2017,4,La Rioja,52,17,52
2017,4,Mendoza,179,1,180
2017,4,Misiones,104,0,104
2017,4,Neuquén,115,2,117
2017,4,Río Negro,109,1,110
2017,4,Salta,133,1,133
2017,4,San Juan,58,659,59
2017,4,San Luis,15,300,15
2017,4,Santa Cruz,29,434,29
2017,4,Santa Fe,672,323,672
2017,4,Santiago Del Estero,69,2,69
2017,4,Tierra Del Fuego,28,508,29
2017,4,Tucumán,162,34,162
2017,3,Buenos Aires,3,11,3
2017,3,Capital Federal,2,7,2
2017,3,Catamarca,33,11,33
2017,3,Chaco,94,12,94
2017,3,Chubut,81,2,84
2017,3,Córdoba,697,108,697
2017,3,Corrientes,93,12,93
2017,3,Entre Ríos,185,50,185
2017,3,Formosa,32,0,32
2017,3,Jujuy,43,1,43
2017,3,La Pampa,79,410,80
2017,3,La Rioja,52,17,52
2017,3,Mendoza,191,2,192
2017,3,Misiones,100,0,100
2017,3,Neuquén,114,2,116
2017,3,Río Negro,106,1,107
2017,3,Salta,133,1,133
2017,3,San Juan,62,660,62
2017,3,San Luis,21,311,22
2017,3,Santa Cruz,33,468,34
2017,3,Santa Fe,662,256,662
2017,3,Santiago Del Estero,83,2,83
2017,3,Tierra Del Fuego,31,583,31
2017,3,Tucumán,161,33,161
2017,2,Buenos Aires,3,11,3
2017,2,Capital Federal,2,8,2
2017,2,Catamarca,27,13,27
2017,2,Chaco,91,14,91
2017,2,Chubut,62,2,64
2017,2,Córdoba,658,133,658
2017,2,Corrientes,90,12,90
2017,2,Entre Ríos,183,57,183
2017,2,Formosa,30,0,30
2017,2,Jujuy,43,1,43
2017,2,La Pampa,73,449,73
2017,2,La Rioja,16,18,16
2017,2,Mendoza,169,1,171
2017,2,Misiones,100,0,100
2017,2,Neuquén,115,2,117
2017,2,Río Negro,101,998,102
2017,2,Salta,109,1,109
2017,2,San Juan,51,620,52
2017,2,San Luis,13,315,13
2017,2,Santa Cruz,26,369,26
2017,2,Santa Fe,567,362,567
2017,2,Santiago Del Estero,33,2,33
2017,2,Tierra Del Fuego,32,619,33
2017,2,Tucumán,154,37,154
2017,1,Buenos Aires,3,11,3
2017,1,Capital Federal,1,8,1
2017,1,Catamarca,26,13,26
2017,1,Chaco,89,14,89
2017,1,Chubut,62,2,64
2017,1,Córdoba,641,133,641
2017,1,Corrientes,89,12,89
2017,1,Entre Ríos,180,57,180
2017,1,Formosa,30,0,30
2017,1,Jujuy,43,1,43
2017,1,La Pampa,71,455,72
2017,1,La Rioja,16,18,16
2017,1,Mendoza,169,1,171
2017,1,Misiones,98,0,98
2017,1,Neuquén,113,2,115
2017,1,Río Negro,100,1,101
2017,1,Salta,108,1,108
2017,1,San Juan,51,620,52
2017,1,San Luis,13,315,13
2017,1,Santa Cruz,26,370,26
2017,1,Santa Fe,563,362,563
2017,1,Santiago Del Estero,34,2,34
2017,1,Tierra Del Fuego,32,619,33
2017,1,Tucumán,153,37,153
2016,4,Buenos Aires,3,11,3
2016,4,Capital Federal,1,8,1
2016,4,Catamarca,27,13,27
2016,4,Chaco,89,14,89
2016,4,Chubut,62,2,64
2016,4,Córdoba,636,133,637
2016,4,Corrientes,88,12,88
2016,4,Entre Ríos,180,57,180
2016,4,Formosa,30,0,30
2016,4,Jujuy,43,1,43
2016,4,La Pampa,71,460,72
2016,4,La Rioja,16,18,16
2016,4,Mendoza,169,1,171
2016,4,Misiones,97,0,97
2016,4,Neuquén,112,2,114
2016,4,Río Negro,100,1,101
2016,4,Salta,107,1,107
2016,4,San Juan,51,620,52
2016,4,San Luis,13,315,13
2016,4,Santa Cruz,26,370,26
2016,4,Santa Fe,561,362,562
2016,4,Santiago Del Estero,35,2,35
2016,4,Tierra Del Fuego,32,619,33
2016,4,Tucumán,152,37,152
2016,3,Buenos Aires,3,11,3
2016,3,Capital Federal,1,8,1
2016,3,Catamarca,27,13,27
2016,3,Chaco,89,14,89
2016,3,Chubut,62,2,64
2016,3,Córdoba,642,133,643
2016,3,Corrientes,88,12,88
2016,3,Entre Ríos,181,57,181
2016,3,Formosa,28,0,28
2016,3,Jujuy,43,1,43
2016,3,La Pampa,70,461,70
2016,3,La Rioja,17,18,17
2016,3,Mendoza,169,1,171
2016,3,Misiones,98,0,98
2016,3,Neuquén,110,2,113
2016,3,Río Negro,100,1,101
2016,3,Salta,108,1,108
2016,3,San Juan,51,620,52
2016,3,San Luis,13,315,13
2016,3,Santa Cruz,26,371,26
2016,3,Santa Fe,567,386,567
2016,3,Santiago Del Estero,36,2,36
2016,3,Tierra Del Fuego,31,619,32
2016,3,Tucumán,151,37,151
2016,2,Buenos Aires,3,13,3
2016,2,Capital Federal,1,10,1
2016,2,Catamarca,27,13,27
2016,2,Chaco,88,16,88
2016,2,Chubut,62,2,64
2016,2,Córdoba,635,234,635
2016,2,Corrientes,87,24,87
2016,2,Entre Ríos,178,179,178
2016,2,Formosa,29,1,29
2016,2,Jujuy,41,2,41
2016,2,La Pampa,68,485,69
2016,2,La Rioja,17,18,17
2016,2,Mendoza,169,2,171
2016,2,Misiones,96,7,96
2016,2,Neuquén,108,2,111
2016,2,Río Negro,100,1,101
2016,2,Salta,105,3,105
2016,2,San Juan,51,621,52
2016,2,San Luis,13,317,13
2016,2,Santa Cruz,26,356,26
2016,2,Santa Fe,564,607,564
2016,2,Santiago Del Estero,37,3,37
2016,2,Tierra Del Fuego,31,619,31
2016,2,Tucumán,149,41,149
2016,1,Buenos Aires,3,13,3
2016,1,Capital Federal,1,10,1
2016,1,Catamarca,26,13,26
2016,1,Chaco,87,16,87
2016,1,Chubut,62,2,64
2016,1,Córdoba,610,234,610
2016,1,Corrientes,86,26,86
2016,1,Entre Ríos,175,179,175
2016,1,Formosa,28,1,28
2016,1,Jujuy,40,2,40
2016,1,La Pampa,65,487,66
2016,1,La Rioja,17,18,17
2016,1,Mendoza,169,2,171
2016,1,Misiones,93,7,93
2016,1,Neuquén,102,2,104
2016,1,Río Negro,99,1,100
2016,1,Salta,102,3,102
2016,1,San Juan,51,621,52
2016,1,San Luis,13,317,13
2016,1,Santa Cruz,26,356,26
2016,1,Santa Fe,551,618,552
2016,1,Santiago Del Estero,38,3,38
2016,1,Tierra Del Fuego,30,619,30
2016,1,Tucumán,147,41,147
2015,4,Buenos Aires,3,13,3
2015,4,Capital Federal,1,10,1
2015,4,Catamarca,26,13,26
2015,4,Chaco,87,16,87
2015,4,Chubut,62,2,64
2015,4,Córdoba,626,235,626
2015,4,Corrientes,85,26,85
2015,4,Entre Ríos,174,180,174
2015,4,Formosa,28,1,28
2015,4,Jujuy,40,2,40
2015,4,La Pampa,66,312,66
2015,4,La Rioja,17,18,17
2015,4,Mendoza,169,2,171
2015,4,Misiones,93,7,93
2015,4,Neuquén,105,2,107
2015,4,Río Negro,99,1,100
2015,4,Salta,102,3,102
2015,4,San Juan,51,621,52
2015,4,San Luis,13,317,13
2015,4,Santa Cruz,26,356,26
2015,4,Santa Fe,561,627,562
2015,4,Santiago Del Estero,39,3,39
2015,4,Tierra Del Fuego,29,619,30
2015,4,Tucumán,146,42,146
2015,3,Buenos Aires,3,13,3
2015,3,Capital Federal,1,10,1
2015,3,Catamarca,26,13,26
2015,3,Chaco,85,16,85
2015,3,Chubut,62,2,64
2015,3,Córdoba,623,237,623
2015,3,Corrientes,85,28,85
2015,3,Entre Ríos,172,182,172
2015,3,Formosa,28,1,28
2015,3,Jujuy,40,2,40
2015,3,La Pampa,65,495,65
2015,3,La Rioja,17,18,17
2015,3,Mendoza,169,2,171
2015,3,Misiones,92,7,92
2015,3,Neuquén,98,2,101
2015,3,Río Negro,99,1,100
2015,3,Salta,101,3,101
2015,3,San Juan,51,621,52
2015,3,San Luis,13,317,13
2015,3,Santa Cruz,26,359,26
2015,3,Santa Fe,556,641,557
2015,3,Santiago Del Estero,39,3,39
2015,3,Tierra Del Fuego,33,619,34
2015,3,Tucumán,144,42,144
2015,2,Buenos Aires,3,13,3
2015,2,Capital Federal,1,10,1
2015,2,Catamarca,26,13,26
2015,2,Chaco,84,16,84
2015,2,Chubut,62,2,63
2015,2,Córdoba,610,236,610
2015,2,Corrientes,83,28,83
2015,2,Entre Ríos,169,183,169
2015,2,Formosa,27,37,27
2015,2,Jujuy,38,2,38
2015,2,La Pampa,64,500,64
2015,2,La Rioja,16,18,17
2015,2,Mendoza,169,2,171
2015,2,Misiones,89,7,89
2015,2,Neuquén,96,2,98
2015,2,Río Negro,98,1,99
2015,2,Salta,98,3,98
2015,2,San Juan,51,621,52
2015,2,San Luis,13,317,13
2015,2,Santa Cruz,25,379,26
2015,2,Santa Fe,546,649,546
2015,2,Santiago Del Estero,39,3,39
2015,2,Tierra Del Fuego,33,619,34
2015,2,Tucumán,141,42,141
2015,1,Buenos Aires,3,15,3
2015,1,Capital Federal,1,12,1
2015,1,Catamarca,25,20,25
2015,1,Chaco,81,31,81
2015,1,Chubut,63,2,65
2015,1,Córdoba,597,294,597
2015,1,Corrientes,81,43,82
2015,1,Entre Ríos,166,231,166
2015,1,Formosa,27,43,27
2015,1,Jujuy,37,3,37
2015,1,La Pampa,62,542,63
2015,1,La Rioja,16,23,16
2015,1,Mendoza,168,2,170
2015,1,Misiones,85,7,85
2015,1,Neuquén,93,2,96
2015,1,Río Negro,96,1,97
2015,1,Salta,97,18,97
2015,1,San Juan,51,702,52
2015,1,San Luis,13,354,13
2015,1,Santa Cruz,26,424,27
2015,1,Santa Fe,536,797,536
2015,1,Santiago Del Estero,39,8,39
2015,1,Tierra Del Fuego,33,730,33
2015,1,Tucumán,138,92,138
2014,4,Buenos Aires,3,15,3
2014,4,Capital Federal,1,12,1
2014,4,Catamarca,25,21,25
2014,4,Chaco,66,37,66
2014,4,Chubut,67,2,69
2014,4,Córdoba,590,319,590
2014,4,Corrientes,66,54,66
2014,4,Entre Ríos,141,246,141
2014,4,Formosa,26,51,26
2014,4,Jujuy,36,3,36
2014,4,La Pampa,57,567,57
2014,4,La Rioja,16,23,16
2014,4,Mendoza,168,2,170
2014,4,Misiones,77,7,77
2014,4,Neuquén,93,2,95
2014,4,Río Negro,95,1,96
2014,4,Salta,94,26,94
2014,4,San Juan,51,729,52
2014,4,San Luis,13,359,13
2014,4,Santa Cruz,25,436,26
2014,4,Santa Fe,528,938,529
2014,4,Santiago Del Estero,39,9,39
2014,4,Tierra Del Fuego,28,741,29
2014,4,Tucumán,137,95,137
2014,3,Buenos Aires,3,14,3
2014,3,Capital Federal,1,11,1
2014,3,Catamarca,25,21,25
2014,3,Chaco,64,36,64
2014,3,Chubut,67,2,69
2014,3,Córdoba,585,200,585
2014,3,Corrientes,64,33,64
2014,3,Entre Ríos,137,115,137
2014,3,Formosa,26,64,26
2014,3,Jujuy,34,2,34
